iter	RMSE
0	2.104912556
1	2.101703008
2	2.098517925
3	2.095332204
4	2.092193369
5	2.089051926
6	2.085920703
7	2.082801509
8	2.079698456
9	2.076611793
10	2.073533806
11	2.070466751
12	2.067412804
13	2.064368826
14	2.061355953
15	2.058348385
16	2.055350252
17	2.052360522
18	2.04938693
19	2.046413232
20	2.043467886
21	2.040532314
22	2.037604128
23	2.034700221
24	2.031805708
25	2.028935639
26	2.0260673
27	2.023220828
28	2.020366623
29	2.017545209
30	2.014747525
31	2.01194121
32	2.009142298
33	2.006356946
34	2.003597573
35	2.000841547
36	1.998092921
37	1.995362391
38	1.992643864
39	1.989930934
40	1.987260369
41	1.984589261
42	1.981928345
43	1.979286562
44	1.976643011
45	1.974004005
46	1.971376264
47	1.96875098
48	1.966139826
49	1.963549866
50	1.960980623
51	1.958412881
52	1.955864468
53	1.953339498
54	1.950814458
55	1.948300081
56	1.94578255
57	1.943291779
58	1.940809249
59	1.938348811
60	1.935900788
61	1.933450804
62	1.931012154
63	1.928584403
64	1.926183881
65	1.923779982
66	1.92140449
67	1.919033131
68	1.916658552
69	1.914294923
70	1.91195572
71	1.909620665
72	1.907282463
73	1.904969416
74	1.90267747
75	1.900389904
76	1.898102287
77	1.895821297
78	1.893559165
79	1.891302378
80	1.889061057
81	1.886825047
82	1.884607508
83	1.882401098
84	1.880196198
85	1.878002777
86	1.87582283
87	1.873653664
88	1.871499727
89	1.869361366
90	1.867219279
91	1.86510316
92	1.862978827
93	1.860866266
94	1.858764135
95	1.85666664
96	1.854584776
97	1.85251315
98	1.850450211
99	1.848386159
100	1.846353187
101	1.844318074
102	1.842296347
103	1.840294132
104	1.838297122
105	1.836305133
106	1.834329784
107	1.832381842
108	1.830406067
109	1.828441202
110	1.826501343
111	1.824558115
112	1.822631436
113	1.820721058
114	1.818801814
115	1.816894881
116	1.8150004
117	1.813122051
118	1.811251174
119	1.809386981
120	1.807521171
121	1.805672737
122	1.803836546
123	1.801991764
124	1.800165781
125	1.798348655
126	1.796551137
127	1.794744458
128	1.792981595
129	1.791215154
130	1.789442868
131	1.787678882
132	1.785939657
133	1.784187118
134	1.782448294
135	1.7807155
136	1.779012678
137	1.77730554
138	1.77561009
139	1.773915915
140	1.77223979
141	1.770563321
142	1.768893975
143	1.767231877
144	1.765589204
145	1.763962578
146	1.762324769
147	1.760694607
148	1.759066375
149	1.757446552
150	1.755823563
151	1.754209845
152	1.752621281
153	1.75105066
154	1.749470501
155	1.747923603
156	1.746357161
157	1.744801089
158	1.743251416
159	1.74173286
160	1.74021962
161	1.738692507
162	1.737172289
163	1.735671351
164	1.734173346
165	1.732681669
166	1.731181448
167	1.729702517
168	1.728248117
169	1.72680471
170	1.725338829
171	1.723885643
172	1.722439485
173	1.721010182
174	1.719573929
175	1.71816285
176	1.716742596
177	1.715339081
178	1.713938591
179	1.71255115
180	1.711154973
181	1.709787753
182	1.708421694
183	1.707064322
184	1.705704956
185	1.704350964
186	1.702993687
187	1.701656729
188	1.700323575
189	1.699002224
190	1.697684492
191	1.696367035
192	1.695065924
193	1.69376544
194	1.692481624
195	1.691202096
196	1.689935386
197	1.688684674
198	1.687424826
199	1.686173884
200	1.68493165
201	1.683694873
202	1.682440667
203	1.681214062
204	1.6799888
205	1.678771932
206	1.677555166
207	1.676333851
208	1.675135247
209	1.673937867
210	1.672742372
211	1.671542675
212	1.67037567
213	1.669211201
214	1.668056643
215	1.666904092
216	1.665752781
217	1.664613845
218	1.663457364
219	1.662328664
220	1.661202896
221	1.660091727
222	1.658970634
223	1.657854814
224	1.656740901
225	1.65564153
226	1.654569482
227	1.65348936
228	1.652387049
229	1.651313554
230	1.650244809
231	1.649184493
232	1.648115759
233	1.647051455
234	1.646006191
235	1.644989205
236	1.643947707
237	1.642918224
238	1.641893403
239	1.640864252
240	1.639834791
241	1.638828416
242	1.637816999
243	1.636814875
244	1.635824082
245	1.634823936
246	1.633840806
247	1.632853602
248	1.631853996
249	1.630873407
250	1.629906467
251	1.62892572
252	1.627968385
253	1.627020072
254	1.626066016
255	1.625145098
256	1.624186608
257	1.623257616
258	1.622329336
259	1.621412406
260	1.620501013
261	1.619577327
262	1.618666148
263	1.617767157
264	1.616865454
265	1.615971706
266	1.615082461
267	1.614197386
268	1.613320184
269	1.612433971
270	1.611548067
271	1.610680642
272	1.609823746
273	1.608971355
274	1.608106076
275	1.607258195
276	1.606410324
277	1.605568289
278	1.604719811
279	1.603894104
280	1.603059102
281	1.602233685
282	1.601422964
283	1.60060633
284	1.599801665
285	1.59899126
286	1.59818848
287	1.597385353
288	1.596596933
289	1.595793236
290	1.595004891
291	1.594206088
292	1.59343135
293	1.592656582
294	1.591884663
295	1.591108565
296	1.590349737
297	1.589591241
298	1.588826377
299	1.588083384
300	1.587332473
301	1.586582478
302	1.585850928
303	1.585108508
304	1.584361861
305	1.583630964
306	1.582912132
307	1.582211758
308	1.581506085
309	1.580802825
310	1.58010854
311	1.579404774
312	1.57870081
313	1.57800438
314	1.577292521
315	1.57661304
316	1.575926688
317	1.575247549
318	1.574558971
319	1.573878951
320	1.573202893
321	1.572545387
322	1.571882003
323	1.571219448
324	1.570557373
325	1.569911671
326	1.569249395
327	1.568607015
328	1.567979056
329	1.567371095
330	1.56672408
331	1.566072229
332	1.56543628
333	1.564814904
334	1.564188765
335	1.563571938
336	1.562941897
337	1.562328571
338	1.561718704
339	1.561115533
340	1.560492612
341	1.559894318
342	1.559302971
343	1.558711459
344	1.558110892
345	1.557516747
346	1.556949184
347	1.556373634
348	1.555797046
349	1.555230034
350	1.554654379
351	1.554089961
352	1.553515477
353	1.552949878
354	1.552396481
355	1.55184271
356	1.551295186
357	1.550737235
358	1.550166539
359	1.54961351
360	1.549059395
361	1.548523268
362	1.547990866
363	1.547452413
364	1.546908435
365	1.546400628
366	1.545884407
367	1.545365877
368	1.544840284
369	1.544326452
370	1.543822847
371	1.543317354
372	1.542814668
373	1.542296593
374	1.541796965
375	1.541286047
376	1.54079657
377	1.54030789
378	1.539811609
379	1.539331198
380	1.538861963
381	1.538361936
382	1.537879581
383	1.537409962
384	1.536944915
385	1.536473877
386	1.536007889
387	1.535548451
388	1.535076805
389	1.53461924
390	1.534160941
391	1.533695866
392	1.533243273
393	1.532793719
394	1.532345111
395	1.531895472
396	1.531460018
397	1.531015812
398	1.53057729
399	1.530139542
400	1.529693393
401	1.529272127
402	1.528848106
403	1.528412443
404	1.527992385
405	1.527566807
406	1.527156187
407	1.526723527
408	1.526311238
409	1.525893968
410	1.525488069
411	1.525091506
412	1.524704646
413	1.524300236
414	1.523910225
415	1.523516081
416	1.523108404
417	1.522704293
418	1.522297303
419	1.521897015
420	1.521513201
421	1.521118798
422	1.520740699
423	1.520341871
424	1.519946259
425	1.519557244
426	1.519180205
427	1.518798665
428	1.518405368
429	1.518039767
430	1.517666764
431	1.517300924
432	1.516938745
433	1.516576359
434	1.516216548
435	1.515856894
436	1.515478753
437	1.515120074
438	1.514753014
439	1.514400584
440	1.514029168
441	1.513661419
442	1.513318191
443	1.512970034
444	1.512636958
445	1.512297622
446	1.511968099
447	1.511624668
448	1.51128905
449	1.510936661
450	1.510602105
451	1.510280229
452	1.509949415
453	1.509622053
454	1.509279365
455	1.508948635
456	1.508629386
457	1.508311468
458	1.507999384
459	1.507691372
460	1.507361755
461	1.507057509
462	1.506749182
463	1.506447613
464	1.506149577
465	1.505838811
466	1.50554102
467	1.505221719
468	1.504930754
469	1.504622785
470	1.50432829
471	1.504036176
472	1.503741749
473	1.503456356
474	1.503163097
475	1.502854216
476	1.502571035
477	1.502285358
478	1.501993091
479	1.501710542
480	1.501433987
481	1.501154082
482	1.500874309
483	1.500598089
484	1.50030739
485	1.500035775
486	1.499758239
487	1.499497475
488	1.49922969
489	1.498946436
490	1.498687183
491	1.498415519
492	1.498152562
493	1.497870696
494	1.497603295
495	1.497355694
